Date,Close,SMA_50,SMA_200,Signal,Market_Return,Strategy_Return,Cumulative_Market,Cumulative_Strategy
2019-10-31,11877.4501953125,11227.13599609375,11313.614765625,0.0,0.0028157974888274317,0.0,1.0028157974888274,1.0
2019-11-01,11890.599609375,11244.35998046875,11319.105263671874,0.0,0.0011070906504571099,0.0,1.003926005482358,1.0
2019-11-04,11941.2998046875,11262.22998046875,11325.450512695312,0.0,0.004263888868356602,0.0,1.008206634401788,1.0
2019-11-05,11917.2001953125,11279.4959765625,11331.399765625,0.0,-0.002018173043904281,-0.0,1.0061718989495527,1.0
2019-11-06,11966.0498046875,11298.47697265625,11337.371015625,0.0,0.004099084396871566,0.0,1.0102962824811075,1.0
2019-11-07,12012.0498046875,11320.34396484375,11343.420512695313,0.0,0.003844209304726398,0.0,1.0141800728507517,1.0
2019-11-08,11908.150390625,11343.67998046875,11348.685512695312,0.0,-0.008649599006986697,-0.0,1.0054078218997162,1.0
2019-11-11,11913.4501953125,11365.3619921875,11354.144765625,0.0,0.0004450569159482054,0.0,1.0058552856042011,1.0
2019-11-13,11840.4501953125,11381.01400390625,11359.372265625,1.0,-0.006127528029514329,-0.006127528029514329,0.9996918791480263,0.9938724719704857
2019-11-14,11872.099609375,11396.34900390625,11365.044765625,1.0,0.002672990768123773,0.002672990768123773,1.0023640463119572,0.9965290839127552
2019-11-15,11895.4501953125,11413.336015625,11370.088017578126,1.0,0.001966845520657623,0.001966845520657623,1.004335541546514,0.998489102677654
2019-11-18,11884.5,11432.06001953125,11375.059018554688,1.0,-0.0009205364347466549,-0.0009205364347466549,1.0034110140878094,0.9975699570789417
2019-11-19,11940.099609375,11450.39701171875,11380.233515625,1.0,0.004678329704657314,0.004678329704657314,1.0081053016409967,1.0022369182416178
2019-11-20,11999.099609375,11474.42099609375,11385.694262695313,1.0,0.004941332311304558,0.004941332311304558,1.0130866849411928,1.0071893039093074
2019-11-21,11968.400390625,11496.89599609375,11390.727016601562,1.0,-0.002558460196964596,-0.002558460196964596,1.010494742981696,1.004612450164447
2019-11-22,11914.400390625,11518.22599609375,11395.685268554687,1.0,-0.004511881140131235,-0.004511881140131235,1.005935510808635,1.0000797581974088
2019-11-25,12073.75,11540.7769921875,11401.896518554688,1.0,0.013374538722098483,0.013374538722098483,1.019389434249879,1.013455363648607
2019-11-26,12037.7001953125,11561.47,11407.836020507813,1.0,-0.0029858001604721185,-0.0029858001604721185,1.0163457411135122,1.0104293884611937
2019-11-27,12100.7001953125,11582.77,11414.436772460938,1.0,0.005233557820665036,0.005233557820665036,1.0216648453154165,1.0157175290894045
2019-11-28,12151.150390625,11606.13701171875,11421.884775390625,1.0,0.004169196368656758,0.004169196368656758,1.0259243666784899,1.0199522549232651
2019-11-29,12056.0498046875,11625.74,11428.9040234375,1.0,-0.007826467690735917,-0.007826467690735917,1.017895002769542,1.011969631554015
2019-12-02,12048.2001953125,11646.63400390625,11435.886025390624,1.0,-0.0006510929783939412,-0.0006510929783939412,1.0172322584804965,1.0113107452325623
2019-12-03,11994.2001953125,11670.166015625,11441.702275390626,1.0,-0.004481997238144242,-0.004481997238144242,1.0126730263074357,1.0067780532655244
2019-12-04,12043.2001953125,11694.21701171875,11447.450024414062,1.0,0.004085307832292884,0.004085307832292884,1.0168101073533613,1.0108910515319107
2019-12-05,12018.400390625,11720.4890234375,11452.980776367187,1.0,-0.00205923710353606,-0.00205923710353606,1.0147162542530488,1.0088093871709636
2019-12-06,11921.5,11733.43501953125,11457.916528320313,1.0,-0.008062669529681155,-0.008062669529681155,1.0065349324286106,1.000675690463764
2019-12-09,11937.5,11740.181015625,11462.29177734375,1.0,0.001342112989137334,0.001342112989137334,1.0078858160354436,1.0020187103058493
2019-12-10,11856.7998046875,11745.5530078125,11466.228774414063,1.0,-0.006760225785340301,-0.006760225785340301,1.001072280353202,0.9952448375830463
2019-12-11,11910.150390625,11754.95201171875,11471.061528320313,1.0,0.0044995771891509495,0.0044995771891509495,1.0055766823505705,0.9997230185518552
2019-12-12,11971.7998046875,11762.96400390625,11476.476528320312,1.0,0.005176207859728388,0.005176207859728388,1.0107817562773131,1.0048977926980347
2019-12-13,12086.7001953125,11774.45,11482.75302734375,1.0,0.009597587037832866,0.009597587037832866,1.0204828221594382,1.0145423867275802
2019-12-16,12053.9501953125,11786.04,11489.292529296876,1.0,-0.0027095898360001147,-0.0027095898360001147,1.0177177322767024,1.0117933929883118
